"Project","Replication","Lab","DV","Group"
"Multi_Lab_2","Rep_D","Lab_F",-5,1
"Multi_Lab_2","Rep_D","Lab_F",4,0
"Multi_Lab_2","Rep_D","Lab_F",-5,1
"Multi_Lab_2","Rep_D","Lab_F",3,0
"Multi_Lab_2","Rep_D","Lab_F",-8,1
"Multi_Lab_2","Rep_D","Lab_F",-4,0
"Multi_Lab_2","Rep_D","Lab_F",-4,1
"Multi_Lab_2","Rep_D","Lab_F",5,0
"Multi_Lab_2","Rep_D","Lab_F",-6,1
"Multi_Lab_2","Rep_D","Lab_F",2,0
"Multi_Lab_2","Rep_D","Lab_G",-4,1
"Multi_Lab_2","Rep_D","Lab_G",2,0
"Multi_Lab_2","Rep_D","Lab_G",-9,1
"Multi_Lab_2","Rep_D","Lab_G",-7,0
"Multi_Lab_2","Rep_D","Lab_G",-4,1
"Multi_Lab_2","Rep_D","Lab_G",-15,0
"Multi_Lab_2","Rep_D","Lab_G",-4,1
"Multi_Lab_2","Rep_D","Lab_G",2,0
"Multi_Lab_2","Rep_D","Lab_G",5,1
"Multi_Lab_2","Rep_D","Lab_G",0,0
"Multi_Lab_2","Rep_D","Lab_H",7,1
"Multi_Lab_2","Rep_D","Lab_H",-2,0
"Multi_Lab_2","Rep_D","Lab_H",5,1
"Multi_Lab_2","Rep_D","Lab_H",6,0
"Multi_Lab_2","Rep_D","Lab_H",8,1
"Multi_Lab_2","Rep_D","Lab_H",7,0
"Multi_Lab_2","Rep_D","Lab_H",-8,1
"Multi_Lab_2","Rep_D","Lab_H",3,0
"Multi_Lab_2","Rep_D","Lab_H",0,1
"Multi_Lab_2","Rep_D","Lab_H",2,0
"Multi_Lab_2","Rep_D","Lab_I",0,1
"Multi_Lab_2","Rep_D","Lab_I",0,0
"Multi_Lab_2","Rep_D","Lab_I",0,1
"Multi_Lab_2","Rep_D","Lab_I",4,0
"Multi_Lab_2","Rep_D","Lab_I",-6,1
"Multi_Lab_2","Rep_D","Lab_I",-1,0
"Multi_Lab_2","Rep_D","Lab_I",-5,1
"Multi_Lab_2","Rep_D","Lab_I",-9,0
"Multi_Lab_2","Rep_D","Lab_I",-1,1
"Multi_Lab_2","Rep_D","Lab_I",-5,0
"Multi_Lab_2","Rep_D","Lab_J",2,1
"Multi_Lab_2","Rep_D","Lab_J",-3,0
"Multi_Lab_2","Rep_D","Lab_J",8,1
"Multi_Lab_2","Rep_D","Lab_J",-2,0
"Multi_Lab_2","Rep_D","Lab_J",-8,1
"Multi_Lab_2","Rep_D","Lab_J",1,0
"Multi_Lab_2","Rep_D","Lab_J",1,1
"Multi_Lab_2","Rep_D","Lab_J",0,0
"Multi_Lab_2","Rep_D","Lab_J",2,1
"Multi_Lab_2","Rep_D","Lab_J",-1,0
